 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município e Ano processamento
Período:Jun/2010
"150760 SAO MIGUEL DO GUAMA";200;200
"150770 SAO SEBASTIAO DA BOA VISTA";111;111
"150775 SAPUCAIA";56;56
"150790 SOURE";132;132
"150795 TAILANDIA";227;227
"150797 TERRA SANTA";63;63
"150800 TOME-ACU";367;367
"150803 TRACUATEUA";77;77
"150808 TUCUMA";207;207
"150810 TUCURUI";649;649
"150812 ULIANOPOLIS";266;266
"150815 URUARA";340;340
"150820 VIGIA";383;383
"150830 VISEU";221;221
"150835 VITORIA DO XINGU";37;37
"150840 XINGUARA";383;383
"160020 CALCOENE";51;51
"160027 LARANJAL DO JARI";322;322
"160030 MACAPA";2170;2170
"160050 OIAPOQUE";66;66
"160053 PORTO GRANDE";51;51
"160060 SANTANA";440;440
"170100 ANANAS";79;79
"170200 ARAGUACU";118;118
"170210 ARAGUAINA";1868;1868
"170230 ARAPOEMA";74;74
"170240 ARRAIAS";173;173
"170255 AUGUSTINOPOLIS";767;767
"170550 COLINAS DO TOCANTINS";263;263
"170555 COMBINADO";24;24
"170700 DIANOPOLIS";196;196
"170710 DIVINOPOLIS DO TOCANTINS";39;39
"170730 DUERE";12;12
"170765 FIGUEIROPOLIS";20;20
"170820 FORMOSO DO ARAGUAIA";30;30
"170900 GOIATINS";85;85
"170930 GUARAI";202;202
"170950 GURUPI";761;761
"171050 ITACAJA";20;20
"171320 MIRACEMA DO TOCANTINS";284;284
"171330 MIRANORTE";74;74
"171360 MONTE DO CARMO";20;20
"171420 NATIVIDADE";10;10
"171430 NAZARE";17;17
"171575 PALMEIROPOLIS";23;23
"171610 PARAISO DO TOCANTINS";361;361
"171620 PARANA";12;12
"171650 PEDRO AFONSO";223;223
"171660 PEIXE";58;58
"171670 COLMEIA";21;21
"171790 PONTE ALTA DO TOCANTINS";15;15
"171820 PORTO NACIONAL";695;695
"171840 PRESIDENTE KENNEDY";14;14
"172065 SILVANOPOLIS";2;2
"172090 TAGUATINGA";145;145
"172100 PALMAS";1945;1945
"172120 TOCANTINOPOLIS";206;206
"172210 XAMBIOA";92;92
"210005 ACAILANDIA";358;358
"210020 ALCANTARA";41;41
"210030 ALDEIAS ALTAS";103;103
"210047 ALTO ALEGRE DO PINDARE";199;199
"210050 ALTO PARNAIBA";81;81
"210060 AMARANTE DO MARANHAO";210;210
"210070 ANAJATUBA";141;141
"210080 ANAPURUS";144;144
"210095 ARAME";221;221
"210100 ARARI";60;60
"210110 AXIXA";60;60
"210120 BACABAL";578;578
"210130 BACURI";94;94
"210140 BALSAS";509;509
"210150 BARAO DE GRAJAU";107;107
"210160 BARRA DO CORDA";522;522
"210170 BARREIRINHAS";212;212
"210180 BENEDITO LEITE";33;33
"210190 BEQUIMAO";82;82
"210200 BOM JARDIM";193;193
"210203 BOM JESUS DAS SELVAS";113;113
"210210 BREJO";140;140
"210220 BURITI";159;159
"210230 BURITI BRAVO";160;160
"210232 BURITICUPU";318;318
"210240 CAJAPIO";30;30
"210250 CAJARI";39;39
"210260 CANDIDO MENDES";52;52
"210270 CANTANHEDE";179;179
"210275 CAPINZAL DO NORTE";60;60
"210280 CAROLINA";124;124
"210290 CARUTAPERA";141;141
"210300 CAXIAS";1050;1050
"210310 CEDRAL";41;41
"210320 CHAPADINHA";516;516
"210325 CIDELANDIA";74;74
"210330 CODO";561;561
"210340 COELHO NETO";365;365
"210350 COLINAS";298;298
"210360 COROATA";324;324
"210370 CURURUPU";383;383
"210380 DOM PEDRO";130;130
"210400 ESPERANTINOPOLIS";118;118
"210405 ESTREITO";200;200
"210407 FEIRA NOVA DO MARANHAO";145;145
"210409 FORMOSA DA SERRA NEGRA";59;59
"210410 FORTALEZA DOS NOGUEIRAS";52;52
"210420 FORTUNA";75;75
"210440 GONCALVES DIAS";106;106
"210450 GOVERNADOR ARCHER";64;64
"210455 GOVERNADOR EDISON LOBAO";57;57
"210460 GOVERNADOR EUGENIO BARROS";91;91
"210462 GOVERNADOR LUIZ ROCHA";47;47
"210467 GOVERNADOR NUNES FREIRE";494;494
"210470 GRACA ARANHA";65;65
"210480 GRAJAU";398;398
"210490 GUIMARAES";79;79
"210500 HUMBERTO DE CAMPOS";154;154
"210510 ICATU";63;63
"210515 IGARAPE DO MEIO";58;58
"210520 IGARAPE GRANDE";65;65
"210530 IMPERATRIZ";1603;1603
"210540 ITAPECURU MIRIM";216;216
"210542 ITINGA DO MARANHAO";156;156
"210550 JOAO LISBOA";138;138
"210560 JOSELANDIA";97;97
"210570 LAGO DA PEDRA";403;403
"210580 LAGO DO JUNCO";62;62
"210600 LIMA CAMPOS";52;52
"210610 LORETO";47;47
"210630 MAGALHAES DE ALMEIDA";70;70
"210640 MATA ROMA";88;88
"210650 MATINHA";83;83
"210660 MATOES";177;177
"210667 MILAGRES DO MARANHAO";26;26
"210670 MIRADOR";112;112
"210675 MIRANDA DO NORTE";138;138
"210680 MIRINZAL";30;30
"210690 MONCAO";145;145
"210700 MONTES ALTOS";72;72
"210710 MORROS";106;106
"210720 NINA RODRIGUES";121;121
"210725 NOVA COLINAS";31;31
"210735 NOVA OLINDA DO MARANHAO";52;52
"210740 OLHO D'AGUA DAS CUNHAS";112;112
"210745 OLINDA NOVA DO MARANHAO";45;45
"210750 PACO DO LUMIAR";142;142
"210760 PALMEIRANDIA";52;52
"210770 PARAIBANO";58;58
"210780 PARNARAMA";85;85
"210790 PASSAGEM FRANCA";326;326
"210800 PASTOS BONS";122;122
"210810 PAULO RAMOS";177;177
"210820 PEDREIRAS";397;397
"210825 PEDRO DO ROSARIO";123;123
"210830 PENALVA";192;192
"210840 PERI MIRIM";73;73
"210850 PINDARE-MIRIM";122;122
"210860 PINHEIRO";545;545
"210870 PIO XII";135;135
"210880 PIRAPEMAS";74;74
"210890 POCAO DE PEDRAS";146;146
"210900 PORTO FRANCO";349;349
"210910 PRESIDENTE DUTRA";253;253
"210920 PRESIDENTE JUSCELINO";44;44
"210930 PRESIDENTE VARGAS";56;56
"210945 RAPOSA";100;100
"210950 RIACHAO";123;123
"210960 ROSARIO";340;340
"210970 SAMBAIBA";29;29
"210975 SANTA FILOMENA DO MARANHAO";36;36
"210980 SANTA HELENA";151;151
"210990 SANTA INES";491;491
"211000 SANTA LUZIA";307;307
"211003 SANTA LUZIA DO PARUA";244;244
"211010 SANTA QUITERIA DO MARANHAO";95;95
"211020 SANTA RITA";278;278
"211027 SANTO AMARO DO MARANHAO";71;71
"211030 SANTO ANTONIO DOS LOPES";74;74
"211040 SAO BENEDITO DO RIO PRETO";85;85
"211050 SAO BENTO";206;206
"211060 SAO BERNARDO";155;155
"211065 SAO DOMINGOS DO AZEITAO";19;19
"211070 SAO DOMINGOS DO MARANHAO";222;222
"211080 SAO FELIX DE BALSAS";33;33
"211085 SAO FRANCISCO DO BREJAO";28;28
"211100 SAO JOAO BATISTA";157;157
"211102 SAO JOAO DO CARU";81;81
"211110 SAO JOAO DOS PATOS";150;150
"211120 SAO JOSE DE RIBAMAR";196;196
"211125 SAO JOSE DOS BASILIOS";58;58
"211130 SAO LUIS";7669;7669
"211140 SAO LUIS GONZAGA DO MARANHAO";194;194
"211150 SAO MATEUS DO MARANHAO";113;113
"211160 SAO RAIMUNDO DAS MANGABEIRAS";98;98
"211170 SAO VICENTE FERRER";201;201
"211172 SATUBINHA";62;62
"211174 SENADOR ALEXANDRE COSTA";59;59
"211180 SITIO NOVO";82;82
"211190 SUCUPIRA DO NORTE";55;55
"211200 TASSO FRAGOSO";35;35
"211210 TIMBIRAS";106;106
"211220 TIMON";568;568
"211223 TRIZIDELA DO VALE";114;114
"211230 TUNTUM";221;221
"211240 TURIACU";207;207
"211250 TUTOIA";214;214
"211260 URBANO SANTOS";92;92
"211270 VARGEM GRANDE";198;198
"211280 VIANA";202;202
"211285 VILA NOVA DOS MARTIRIOS";57;57
"211290 VITORIA DO MEARIM";89;89
"211300 VITORINO FREIRE";198;198
"211400 ZE DOCA";211;211
"220020 AGUA BRANCA";45;45
"220025 ALAGOINHA DO PIAUI";27;27
"220030 ALTO LONGA";33;33
"220040 ALTOS";96;96
"220050 AMARANTE";98;98
"220060 ANGICAL DO PIAUI";3;3
"220090 AROAZES";26;26
"220100 ARRAIAL";19;19
"220110 AVELINO LOPES";17;17
"220120 BARRAS";339;339
"220150 BATALHA";109;109
"220160 BENEDITINOS";12;12
"220180 BOCAINA";8;8
"220190 BOM JESUS";459;459
"220200 BURITI DOS LOPES";140;140
"220220 CAMPO MAIOR";546;546
"220230 CANTO DO BURITI";148;148
"220240 CAPITAO DE CAMPOS";10;10
"220250 CARACOL";30;30
"220260 CASTELO DO PIAUI";159;159
"220270 COCAL";136;136
"220290 CORRENTE";172;172
"220310 CRISTINO CASTRO";11;11
"220320 CURIMATA";112;112
"220330 DEMERVAL LOBAO";56;56
"220350 ELESBAO VELOSO";99;99
"220370 ESPERANTINA";315;315
"220375 FARTURA DO PIAUI";17;17
"220390 FLORIANO";705;705
"220400 FRANCINOPOLIS";13;13
"220410 FRANCISCO AYRES";9;9
"220430 FRONTEIRAS";190;190
"220440 GILBUES";37;37
"220450 GUADALUPE";137;137
"220470 INHUMA";37;37
"220480 IPIRANGA DO PIAUI";36;36
"220490 ISAIAS COELHO";14;14
"220500 ITAINOPOLIS";60;60
"220510 ITAUEIRA";90;90
"220520 JAICOS";148;148
"220540 JOAQUIM PIRES";51;51
"220550 JOSE DE FREITAS";177;177
"220570 LUIS CORREIA";94;94
"220580 LUZILANDIA";258;258
"220620 MIGUEL ALVES";95;95
"220640 MONSENHOR GIL";20;20
"220650 MONSENHOR HIPOLITO";23;23
"220660 MONTE ALEGRE DO PIAUI";7;7
"220680 NOSSA SENHORA DOS REMEDIOS";60;60
"220690 NOVO ORIENTE DO PIAUI";40;40
"220700 OEIRAS";443;443
"220720 PADRE MARCOS";51;51
"220750 PALMEIRAIS";44;44
"220760 PARNAGUA";74;74
"220770 PARNAIBA";1751;1751
"220780 PAULISTANA";278;278
"220790 PEDRO II";207;207
"220800 PICOS";1647;1647
"220810 PIMENTEIRAS";34;34
"220830 PIRACURUCA";23;23
"220840 PIRIPIRI";258;258
"220850 PORTO";46;46
"220880 REGENERACAO";89;89
"220900 RIO GRANDE DO PIAUI";8;8
"220910 SANTA CRUZ DO PIAUI";29;29
"220940 SANTO ANTONIO DE LISBOA";15;15
"220960 SAO FELIX DO PIAUI";20;20
"220970 SAO FRANCISCO DO PIAUI";35;35
"220990 SAO JOAO DA SERRA";14;14
"221000 SAO JOAO DO PIAUI";134;134
"221010 SAO JOSE DO PEIXE";16;16
"221030 SAO JULIAO";32;32
"221040 SAO MIGUEL DO TAPUIO";49;49
"221050 SAO PEDRO DO PIAUI";99;99
"221060 SAO RAIMUNDO NONATO";943;943
"221070 SIMOES";138;138
"221080 SIMPLICIO MENDES";45;45
"221100 TERESINA";7605;7605
"221110 UNIAO";202;202
"221120 URUCUI";126;126
"221130 VALENCA DO PIAUI";258;258
"221140 VARZEA GRANDE";4;4
"221170 WALL FERRAZ";24;24
"230020 ACARAU";336;336
"230030 ACOPIARA";247;247
"230040 AIUABA";10;10
"230060 ALTANEIRA";14;14
"230070 ALTO SANTO";56;56
"230075 AMONTADA";47;47
"230080 ANTONINA DO NORTE";26;26
"230090 APUIARES";11;11
"230100 AQUIRAZ";96;96
"230110 ARACATI";428;428
"230120 ARACOIABA";183;183
"230125 ARARENDA";12;12
"230130 ARARIPE";109;109
"230140 ARATUBA";18;18
"230150 ARNEIROZ";17;17
"230160 ASSARE";47;47
"230170 AURORA";177;177
"230180 BAIXIO";46;46
"230185 BANABUIU";20;20
"230190 BARBALHA";1475;1475
"230195 BARREIRA";20;20
"230200 BARRO";42;42
"230210 BATURITE";180;180
"230220 BEBERIBE";55;55
"230230 BELA CRUZ";53;53
"230240 BOA VIAGEM";261;261
"230250 BREJO SANTO";763;763
"230260 CAMOCIM";292;292
"230270 CAMPOS SALES";156;156
"230280 CANINDE";511;511
"230290 CAPISTRANO";10;10
"230300 CARIDADE";20;20
"230320 CARIRIACU";44;44
"230330 CARIUS";33;33
"230340 CARNAUBAL";35;35
"230350 CASCAVEL";230;230
"230360 CATARINA";60;60
"230370 CAUCAIA";835;835
"230380 CEDRO";52;52
"230390 CHAVAL";69;69
"230393 CHORO";5;5
"230395 CHOROZINHO";13;13
"230400 COREAU";41;41
"230410 CRATEUS";635;635
"230420 CRATO";1435;1435
"230423 CROATA";47;47
"230425 CRUZ";69;69
"230426 DEPUTADO IRAPUAN PINHEIRO";5;5
"230428 EUSEBIO";88;88
"230430 FARIAS BRITO";38;38
"230435 FORQUILHA";13;13
"230440 FORTALEZA";16869;16869
"230445 FORTIM";11;11
"230450 FRECHEIRINHA";9;9
"230470 GRANJA";169;169
"230490 GROAIRAS";22;22
"230495 GUAIUBA";6;6
"230500 GUARACIABA DO NORTE";109;109
"230510 GUARAMIRANGA";10;10
"230520 HIDROLANDIA";28;28
"230523 HORIZONTE";100;100
"230526 IBARETAMA";13;13
"230530 IBIAPINA";87;87
"230535 ICAPUI";13;13
"230540 ICO";297;297
"230550 IGUATU";820;820
"230560 INDEPENDENCIA";39;39
"230565 IPAPORANGA";52;52
"230570 IPAUMIRIM";54;54
"230580 IPU";318;318
"230590 IPUEIRAS";53;53
"230600 IRACEMA";29;29
"230610 IRAUCUBA";33;33
"230620 ITAICABA";4;4
"230625 ITAITINGA";41;41
"230630 ITAPAGE";117;117
"230640 ITAPIPOCA";830;830
"230650 ITAPIUNA";51;51
"230655 ITAREMA";71;71
"230670 JAGUARETAMA";18;18
"230680 JAGUARIBARA";12;12
"230690 JAGUARIBE";99;99
"230700 JAGUARUANA";42;42
"230710 JARDIM";106;106
"230730 JUAZEIRO DO NORTE";1035;1035
"230740 JUCAS";138;138
"230750 LAVRAS DA MANGABEIRA";197;197
"230760 LIMOEIRO DO NORTE";350;350
"230763 MADALENA";4;4
"230765 MARACANAU";857;857
"230770 MARANGUAPE";245;245
"230780 MARCO";63;63
"230790 MARTINOPOLE";8;8
"230800 MASSAPE";52;52
"230810 MAURITI";213;213
"230820 MERUOCA";17;17
"230830 MILAGRES";41;41
"230840 MISSAO VELHA";180;180
"230850 MOMBACA";135;135
"230860 MONSENHOR TABOSA";84;84
"230870 MORADA NOVA";221;221
"230880 MORAUJO";14;14
"230890 MORRINHOS";25;25
"230900 MUCAMBO";146;146
"230910 MULUNGU";10;10
"230920 NOVA OLINDA";46;46
"230930 NOVA RUSSAS";155;155
"230940 NOVO ORIENTE";70;70
"230945 OCARA";39;39
"230950 OROS";111;111
"230960 PACAJUS";54;54
"230970 PACATUBA";15;15
"230980 PACOTI";37;37
"231000 PALHANO";17;17
"231010 PALMACIA";19;19
"231020 PARACURU";104;104
"231025 PARAIPABA";29;29
"231030 PARAMBU";126;126
"231050 PEDRA BRANCA";145;145
"231060 PENAFORTE";7;7
"231070 PENTECOSTE";101;101
"231080 PEREIRO";52;52
"231085 PINDORETAMA";17;17
"231090 PIQUET CARNEIRO";43;43
"231100 PORANGA";30;30
"231110 PORTEIRAS";39;39
"231120 POTENGI";54;54
"231123 POTIRETAMA";11;11
"231130 QUIXADA";525;525
"231135 QUIXELO";38;38
"231140 QUIXERAMOBIM";395;395
"231150 QUIXERE";31;31
"231160 REDENCAO";208;208
"231170 RERIUTABA";21;21
"231180 RUSSAS";619;619
"231190 SABOEIRO";22;22
"231195 SALITRE";58;58
"231210 SANTANA DO CARIRI";47;47
"231220 SANTA QUITERIA";153;153
"231230 SAO BENEDITO";172;172
"231240 SAO GONCALO DO AMARANTE";89;89
"231260 SAO LUIS DO CURU";8;8
"231270 SENADOR POMPEU";130;130
"231290 SOBRAL";2845;2845
"231310 TABULEIRO DO NORTE";88;88
"231320 TAMBORIL";66;66
"231330 TAUA";485;485
"231335 TEJUCUOCA";13;13
"231340 TIANGUA";426;426
"231350 TRAIRI";80;80
"231355 TURURU";16;16
"231360 UBAJARA";135;135
"231375 UMIRIM";16;16
"231380 URUBURETAMA";14;14
"231390 URUOCA";27;27
"231395 VARJOTA";19;19
"231400 VARZEA ALEGRE";206;206
"231410 VICOSA DO CEARA";265;265
"240010 ACARI";121;121
"240020 ACU";314;314
"240030 AFONSO BEZERRA";24;24
"240050 ALEXANDRIA";428;428
"240060 ALMINO AFONSO";49;49
"240070 ALTO DO RODRIGUES";6;6
"240080 ANGICOS";70;70
"240090 ANTONIO MARTINS";46;46
"240100 APODI";132;132
"240110 AREIA BRANCA";71;71
"240120 ARES";1;1
"240145 BARAUNA";3;3
"240180 BREJINHO";12;12
"240200 CAICO";529;529
"240210 CAMPO REDONDO";26;26
"240220 CANGUARETAMA";35;35
"240230 CARAUBAS";173;173
"240240 CARNAUBA DOS DANTAS";11;11
"240250 CARNAUBAIS";2;2
"240260 CEARA-MIRIM";99;99
"240270 CERRO CORA";12;12
"240280 CORONEL EZEQUIEL";11;11
"240290 CORONEL JOAO PESSOA";21;21
"240300 CRUZETA";13;13
"240310 CURRAIS NOVOS";475;475
"240320 DOUTOR SEVERIANO";8;8
"240325 PARNAMIRIM";724;724
"240330 ENCANTO";10;10
"240340 EQUADOR";9;9
"240380 FLORANIA";65;65
"240400 FRUTUOSO GOMES";21;21
"240420 GOIANINHA";11;11
"240430 GOVERNADOR DIX-SEPT ROSADO";6;6
"240440 GROSSOS";5;5
"240450 GUAMARE";14;14
"240490 ITAU";20;20
"240500 JACANA";13;13
"240560 JARDIM DE PIRANHAS";39;39
"240570 JARDIM DO SERIDO";24;24
"240580 JOAO CAMARA";172;172
"240600 JOSE DA PENHA";9;9
"240610 JUCURUTU";75;75
"240620 LAGOA D'ANTA";12;12
"240650 LAGOA NOVA";50;50
"240670 LAJES";70;70
"240690 LUCRECIA";13;13
"240700 LUIS GOMES";8;8
"240710 MACAIBA";118;118
"240720 MACAU";100;100
"240725 MAJOR SALES";5;5
"240730 MARCELINO VIEIRA";21;21
"240740 MARTINS";45;45
"240790 MONTE DAS GAMELEIRAS";3;3
"240800 MOSSORO";1506;1506
"240810 NATAL";6354;6354
"240830 NOVA CRUZ";94;94
"240840 OLHO-D'AGUA DO BORGES";19;19
"240850 OURO BRANCO";4;4
"240860 PARANA";4;4
"240890 PARELHAS";63;63
"240910 PASSA E FICA";50;50
"240930 PATU";32;32
"240940 PAU DOS FERROS";433;433
"240980 PEDRO VELHO";7;7
"240990 PENDENCIAS";15;15
"241010 POCO BRANCO";15;15
"241020 PORTALEGRE";20;20
"241030 SERRA CAIADA";18;18
"241050 RAFAEL FERNANDES";10;10
"241060 RAFAEL GODEIRO";5;5
"241070 RIACHO DA CRUZ";6;6
"241100 RODOLFO FERNANDES";10;10
"241110 RUY BARBOSA";7;7
"241120 SANTA CRUZ";380;380
"241140 SANTANA DO MATOS";48;48
"241142 SANTANA DO SERIDO";5;5
"241150 SANTO ANTONIO";182;182
"241200 SAO GONCALO DO AMARANTE";329;329
"241220 SAO JOSE DE MIPIBU";148;148
"241230 SAO JOSE DO CAMPESTRE";43;43
"241240 SAO JOSE DO SERIDO";2;2
"241250 SAO MIGUEL";125;125
"241260 SAO PAULO DO POTENGI";94;94
"241290 SAO TOME";16;16
"241300 SAO VICENTE";9;9
"241330 SERRA DE SAO BENTO";8;8
"241335 SERRA DO MEL";19;19
"241340 SERRA NEGRA DO NORTE";12;12
"241355 SERRINHA DOS PINTOS";12;12
"241360 SEVERIANO MELO";38;38
"241370 SITIO NOVO";7;7
"241380 TABOLEIRO GRANDE";7;7
"241400 TANGARA";12;12
"241410 TENENTE ANANIAS";33;33
"241440 TOUROS";38;38
"241445 TRIUNFO POTIGUAR";8;8
"241450 UMARIZAL";42;42
"241460 UPANEMA";22;22
"250010 AGUA BRANCA";27;27
